objevit|découvrir

chodba|un couloir

Školní jídelna|un self

palačinka|une crêpe

oko/oči|un oeil/des yeux

stopa, sjezdovka|une piste

salátová zálivka|une vinaigrette

bábovka|un kouglof

trpět|souffrir

válka|une guerre

držet|tenir

ochutnat|gouter

postel|un lit

Židle|une chaise

hroznové víno|un raisin

cereálie|des céreáles

jídelna|une salle à manger

mít chuť|avoir (une) envie

přístroj|un appareil

přízemí|un rez-de-chaussée

pohleďme|voyons

snídaně|un pétit déjeuner

všichni/všechny|tous/toutes

kuchyně|une cuisine

tato/tamta|celle-ci/-là

ztratit, prohrát|perdre

nábytek|un meuble

Žádný/á|aucun(e)

zaznamenat|marquer

brambory|des pommes de terre

hladomor|une famine

rybolov|une pêche

stůl|un table

sklep|une cave

toto (ž)|celle

vznalézt|inventer

sůl|un sel

břicho|un ventre

vesmír, prostor|un espace

salám|une merguez

hrnek|une tasse, un pot

dobrodružství|une aventure

jogurt|un yaourt

obdržet|obtenir

připravený|prêt

nos|un nez

přát, blahopřát|féliciter

podle mého názoru|À mon avis

okenice|des volets

strava|une nourriture

kohout|un coq

tehdy, od|depuis

kruh|un tour

polévka (hustá, vývar)|potage

obývací pokoj|une salle de séjour

pěstovat|cultiver

objev|une découverte

záchod|untoilet

není-li pravda|n´est-ce pas

topinky|des tartines

různý, variabilní|varié(e)

pokoj|une chambre

noha|une jambe

nahoru, nahoře|en-haut

každý|chaucun

lahev|une bouteille

mouka|une farine

růst, tlačit|pousser

za chvíli nashledanou|à tout à l´heure

dýchání|une respiration

tunel|tunnel

usínat|s´endormir

potápět|plonger

koupelna|une salle de bains

Čočka|une lentille

plody moře|des fruits de mer

tento/tamten|celui-ci/-là

ocet|un vinaigre

sprchovat se|se doucher

skříň|un placard

okno|une fenetre

med|un miel

paže|un bras

krupice|une semoule

ucho|une oreille

pokuta|un amende

langusta|une langoustine

kousek|un morceau

pravítko|une régle

dveře|une porte

schody|un escalier

nůž|un couteau

zmrzlina|une glace

polévka z plodů moře|une bouillabaisse

slaný|salé

následovat|

mušle|une coquille

nikdo|personne

běžný, zaběhlý|courant

chodidlo|un pied

slavný|célèbre

vidlička|une fourchette

víno|un vin

vzít na vědomí|rendre en conscience

přidat|ajouter

mořský|marin

olej|un huil

cukr|un sucre

pít|boire

lednice|un réfrigérateur

bod|un point

Štípat|piquer

mandle|un amande

Žába|une grenouille

dlaň|une main

dochucovadlo|un condiment

talíř|un plat/une assiete

srdce|un coeur

klíč|une clé

osoba|une persone

krajíc, plátek|une tranche

poté|ensuite

slepice|une poule

kuskus|un couscous

dokument (kinematograf|un documentaire

růst|une croissance

toto (m)|celui

dobrodruh|un aventurier

osobnost|un personnage

dobrou chuť|bon apétit

perník|un pain de mie

balík|un paquet

zelí|un chou

slaná palačinka|une galette

toto (nesamostatné)|ce + nom

hra|un jeu

dochucovat|assaisonner

hořčice|une moutarde

lahev|une bouteille
salám|une merguez
dolů, dole|en bas
rybolov|une pêche
hrnek|une tasse, un pot
mušle|une coquille
delikátní|delicieux
nahoru, nahoře|en-haut
mouka|une farine
dlaň|une main
Žába|une grenouille
stopa, sjezdovka|une piste
růst, tlačit|pousser
jídelna|une salle à manger
polévka z plodů moře|une bouillabaisse
tato/tamta|celle-ci/-là
Štípat|piquer
kruh|un tour
slavný|célèbre
ztratit, prohrát|perdre
připravený|prêt
toto (m)|celui
považovat|considérer
osoba|une persone
dobrodružství|une aventure
vzít na vědomí|rendre en conscience
chodidlo|un pied
břicho|un ventre
pravítko|une régle
sprchovat se|se doucher
místo, prostor|un endroit
﻿vejce|le oeuf
růst|une croissance
ocet|un vinaigre
nábytek|un meuble
obdržet|obtenir
vidlička|une fourchette
jogurt|un yaourt
hořčice|une moutarde
osobnost|un personnage
med|un miel
Šunka|un jambon
slaná palačinka|une galette
pohovka|un divan
tunel|tunnel
talíř|un plat/une assiete
okenice|des volets
salátová zálivka|une vinaigrette
zaznamenat|marquer
zelí|un chou
přístroj|un appareil
přát, blahopřát|féliciter
kousek|un morceau
postel|un lit
pít|boire
mít chuť|avoir (une) envie
objev|une découverte
trpět|souffrir
Žádný/á|aucun(e)
olej|un huil
dochucovadlo|un condiment
nos|un nez
potápět|plonger
tento/tamten|celui-ci/-là
hroznové víno|un raisin
pokoj|une chambre
snídaně|un pétit déjeuner
skříň|un placard
pokuta|un amende
plody moře|des fruits de mer
záchod|untoilet
palačinka|une crêpe
langusta|une langoustine
hra|un jeu
není-li pravda|n´est-ce pas
schody|un escalier
držet|tenir
dokument (kinematograf|un documentaire
obývací pokoj|une salle de séjour
každý|chaucun
krupice|une semoule
Ústa|une bouche
paže|un bras
Školní jídelna|un self
kohout|un coq
kuchyně|une cuisine
perník|un pain de mie
krajíc, plátek|une tranche
strava|une nourriture
nikdo|personne
vesmír, prostor|un espace
sklep|une cave
pohleďme|voyons
dobrou chuť|bon apétit
bábovka|un kouglof
usínat|s´endormir
za chvíli nashledanou|à tout à l´heure
dochucovat|assaisonner
koupelna|une salle de bains
bod|un point
dýchání|une respiration
všichni/všechny|tous/toutes
stůl|un table
přidat|ajouter
kuskus|un couscous
sůl|un sel
dobrodruh|un aventurier
běžný, zaběhlý|courant
balík|un paquet
dříve, jednou|autrefois
podle mého názoru|À mon avis
toto (ž)|celle
toto (nesamostatné)|ce + nom
slaný|salé
Židle|une chaise
Čočka|une lentille
topinky|des tartines
lžíce|une cuillère
tehdy, od|depuis
poté|ensuite
ucho|une oreille
víno|un vin
válka|une guerre
různý, variabilní|varié(e)
přízemí|un rez-de-chaussée
slepice|une poule
cukr|un sucre
srdce|un coeur
ochutnat|gouter
mořský|marin
cereálie|des céreáles
dveře|une porte
vyhrát|gagner
chodba|un couloir
noha|une jambe
mandle|un amande
následovat|
nůž|un couteau
oko/oči|un oeil/des yeux
lednice|un réfrigérateur
brambory|des pommes de terre
objevit|découvrir
zmrzlina|une glace
pěstovat|cultiver
vznalézt|inventer
polévka (hustá, vývar)|potage
hladomor|une famine
okno|une fenetre
klíč|une clé
pohovka|un divan

﻿vejce|le oeuf

dolů, dole|en bas

delikátní|delicieux

místo, prostor|un endroit

považovat|considérer

vyhrát|gagner

Šunka|un jambon

dříve, jednou|autrefois

lžíce|une cuillère

